title,url,source,category,college,location,description,department,specialization,systemGroup
Assistant Professor of Economics,https://aprecruit.ucmerced.edu/JPF02030,UC,Faculty,UC Merced,"Merced, CA",,Economics,Economics,California Public
Assistant Professor of Economics,https://www.knox.edu/employment-at-knox/documents/HR/Faculty_Job_Listings/Assistant_Professor_of_Economics_2025_Job_Announcement.pdf,IL,Faculty,Knox College,"Galesburg, IL",,Economics,Economics,
Assistant Professor of Economics,https://facultycareers.gsu.edu/postings/6398,GA,Faculty,Georgia State University,"Atlanta, GA",,Economics,Economics,Georgia
Assistant Professor of Economics,https://ulsltu.wd503.myworkdayjobs.com/en-US/LATECHCareers/details/Assistant-Professor-of-Economics_R-1721,LA,Faculty,Louisiana Tech University,"Ruston, LA",,Economics,Economics,Louisiana
Assistant Professor of Economics (Applied Microeconomics and Environmental/Natural Resource Economics),https://csucareers.calstate.edu/en-us/job/551178/assistant-professor-of-economics-applied-microeconomics-and-environmentalnatural-resource-economics,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Long Beach","Long Beach, CA",,Economics (Applied Microeconomics and Environmental/Natural Resource Economics),Economics (Applied Microeconomics and Environmental/Natural Resource Economics),California Public
Assistant Professor of Education,https://careers.marist.edu/cw/en-us/job/493903/assistant-professor-of-education,NY,Faculty,Marist College,"Marist College, NY",,Education,Education,New York Public
Assistant Professor of Education and Leadership,https://csucareers.calstate.edu/en-us/job/552880/assistant-professor-of-education-and-leadership,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Monterey Bay","Monterey Bay, CA",,Education and Leadership,Education and Leadership,California Public
Assistant Professor of Education Leadership Professional Practice (Non-Tenure Track),https://jobs.rutgers.edu/postings/266239,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,Education Leadership Professional Practice (Non-Tenure Track),Education Leadership Professional Practice (Non-Tenure Track),
"Assistant Professor of Education MAED, Tenure Track, Starting September 1, 2026",https://employment.stockton.edu/jobs/assistant-professor-of-education-maed-tenure-track-starting-september-1-2026-galloway-new-jersey-united-states,NJ,Faculty,Stockton University,"Galloway, NJ",,"Education MAED, Tenure Track, Starting September 1, 2026","Education MAED, Tenure Track, Starting September 1, 2026",
"Assistant Professor of Education, Tenure Track, Starting September 1, 2026",https://employment.stockton.edu/jobs/assistant-professor-of-education-tenure-track-starting-september-1-2026-galloway-new-jersey-united-states,NJ,Faculty,Stockton University,"Galloway, NJ",,"Education, Tenure Track, Starting September 1, 2026","Education, Tenure Track, Starting September 1, 2026",
Assistant Professor of Educational Leadership,https://facultycareers.gsu.edu/postings/6230,GA,Faculty,Georgia State University,"Atlanta, GA",,Educational Leadership,Educational Leadership,Georgia
Assistant Professor of Educational Psychology (Marriage and Family Therapy),https://csucareers.calstate.edu/en-us/job/549986/assistant-professor-of-educational-psychology-marriage-and-family-therapy,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, East Bay","East Bay, CA",,Educational Psychology (Marriage and Family Therapy),Educational Psychology (Marriage and Family Therapy),California Public
Assistant Professor of Educational Psychology: Cognition and Learning,https://unm.csod.com/ux/ats/careersite/18/home/requisition/34649?c=unm,NM,Faculty,University of New Mexico,"Albuquerque, NM",,Educational Psychology: Cognition and Learning,Educational Psychology: Cognition and Learning,
Assistant Professor of Educational Thought and Sociocultural Studies – Black Studies in Education,https://unm.csod.com/ux/ats/careersite/18/home/requisition/34705?c=unm,NM,Faculty,University of New Mexico,"Albuquerque, NM",,Educational Thought and Sociocultural Studies – Black Studies in Education,Educational Thought and Sociocultural Studies – Black Studies in Education,
Assistant Professor of Electrical and Computer Engineering,https://facultyjobs.lehigh.edu/node/1207,PA,Faculty,Lehigh University,"Bethlehem, PA",,Electrical and Computer Engineering,Electrical and Computer Engineering,
Assistant Professor of Electrical and Computer Engineering,https://hr.wwu.edu/careers-faculty?job=502717,WA,Faculty,Western Washington University,"Bellingham, WA",,Electrical and Computer Engineering,Electrical and Computer Engineering,Washington
Assistant Professor of Electrical and Computer Engineering,https://jobs.montana.edu/postings/49397,MT,Faculty,Montana State University,"Bozeman, MT",,Electrical and Computer Engineering,Electrical and Computer Engineering,
Assistant Professor of Electrical Engineering,https://csucareers.calstate.edu/en-us/job/552076/assistant-professor-of-electrical-engineering,CSU,Instructional Faculty – Tenured/Tenure-Track,California State University San Marcos,"San Marcos, CA",,Electrical Engineering,Electrical Engineering,California Public
Assistant Professor of Electrical Engineering,https://cuny.jobs/new-york-ny/assistant-professor-of-electrical-engineering/D39B418C33FC44F8AF08966F9B49D51B/job/,NY,Faculty,City College,"City College, NY","Assistant Professor of Electrical Engineering FACULTY VACANCY ANNOUNCEMENT Position Details The Department of Electrical Engineering at The City College of New York (CCNY) is home to a diverse and vibrant research community and is affiliated with major research centers across the City University of New York, including the Advanced Science Research Center. Our mission reflects CCNY’s longstanding commitment to excellence and access in public higher education. The Department of Electrical Engineering invites applications for a tenure-track or tenured faculty position. We are seeking exceptional candidates with strong research credentials and a demonstrated commitment to teaching who will support and expand our academic programs in Electrical Engineering, Computer Engineering, and Cybersecurity. Areas of interest include Artificial Intelligence and Machine Learning: We invite applications from candidates with expertise in reinforcement learning, computer vision, robotics, and embedded intelligence, and AI hardware acceleration. Applications of AI in the various Electrical and Computer Engineering areas (e.g., anomaly detection, forecasting, quantum AI, and cybersecurity) are also of interest. Power Electronics: We seek expertise in advanced power semiconductor devices such as wide-bandgap transistors and diodes; novel converter topologies; intelligent control; and integration of AI into secure power management systems. Micro/Nano Electronics: We welcome candidates focused on secure and energy-efficient systems, autonomous AI-driven electronic design, quantum computing hardware, RF and mixed-signal design, flexible electronics, hardware security, and additive manufacturing. Integrated Photonics: We are interested in programmable photonic circuits and quantum and microwave photonics, with applications in scalable systems, quantum information, sensing, and signal processing. RF Engineering: We encourage applications from those working in microwave and millimeter-wave circuits and systems, including antennas, RF front ends, next-generation wireless (6G and beyond), metamaterials, joint communication and sensing, secure wireless communication, radar, and AI-driven RF system design. QUALIFICATIONS Ph.D. in Electrical Engineering, Computer Engineering, or a closely related field (or equivalent). Preferred Qualification: A strong research record, and the potential to secure external research funding. Candidates must demonstrate a commitment to excellence in teaching and mentoring at both undergraduate and graduate levels. COMPENSATION Salary Range: $90,838 - $109,025 Salaries above the contractual base are available commensurate with experience per the PSC-CUNY contract. CUNY offers faculty a competitive compensation and benefits package covering health insurance, pension and retirement benefits, paid parental leave, and savings programs. We also provide mentoring and support for research, scholarship, and publication as part of our commitment to ongoing faculty professional development. HOW TO APPLY Only applications submitted through CUNYfirst will be considered for this position. If you are viewing this job posting in CUNYfirst, please click on ""Apply Now"" on the bottom of this page and follow the instructions. If you are viewing this job posting externally, please apply as follows: Go to https://cuny.jobs/ Search for Job Opening ID number 31086 Click on the ""Apply Now"" button and follow the instructions. Applications, including the following must be uploaded to the CUNYfirst job application website as a single PDF document: Cover letter Curriculum Vitae; CLOSING DATE Open until filled, with the review of applications to begin on December 1, 2025. JOB SEARCH CATEGORY CUNY Job Posting: Faculty EQUAL EMPLOYMENT OPPORTUNITY CUNY encourages people with disabilities, minorities, veterans and women to apply. At CUNY, Italian Americans are also included among our protected groups. Applicants and employees will not be discriminated against on the basis of any legally protected category, including sexual orientation or gender identity. EEO/AA/Vet/Disability Employer. Job ID: 31086 Location: City College of New York Job Type: Full-Time",Electrical Engineering,Electrical Engineering,New York Public
Assistant Professor of Electrical Engineering,https://yourfuture.sdbor.edu/postings/46276,SD,Faculty,South Dakota School of Mines and Technology,"Rapid City, SD",,Electrical Engineering,Electrical Engineering,South Dakota
Assistant Professor of Electrical Engineering (AY 26/27),https://csucareers.calstate.edu/en-us/job/552292/assistant-professor-of-electrical-engineering-ay-2627,CSU,Instructional Faculty – Tenured/Tenure-Track,,"Cal Poly - San Luis Obispo Campus, CA",,Electrical Engineering (AY 26/27),Electrical Engineering (AY 26/27),California Public
Assistant Professor of Electrical Engineering-Lithium-based Energy Systems,https://csucareers.calstate.edu/en-us/job/553768/assistant-professor-of-electrical-engineeringlithiumbased-energy-systems,CSU,Instructional Faculty – Tenured/Tenure-Track,San Diego State University,"San Diego - Imperial Valley, CA",,Electrical Engineering-Lithium-based Energy Systems,Electrical Engineering-Lithium-based Energy Systems,California Public
Assistant Professor of Emergent Media,https://jobs.utdallas.edu/postings/31206,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,Emergent Media,Emergent Media,Texas
Assistant Professor of Engineering,https://hofstra.peopleadmin.com/postings/7143,NY,Faculty,Hofstra University,"Hofstra University, NY",,Engineering,Engineering,New York Public
Assistant Professor of English,https://csucareers.calstate.edu/en-us/job/551920/assistant-professor-of-english,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Long Beach","Long Beach, CA",,English,English,California Public
Assistant Professor of English,https://chicagostate.peopleadmin.com/postings/16521,IL,Faculty,Chicago State University,"Chicago, IL",,English,English,
Assistant Professor of English,https://georgefoxfaculty.applicantpool.com/jobs/1258006,OR,Faculty,George Fox University,"Newberg, OR",,English,English,Oregon
Assistant Professor of English,https://deltastate.peopleadmin.com/postings/5018,MS,Faculty,Delta State University,"Cleveland, MS",,English,English,Mississippi
Assistant Professor of English - 20th-21st Century American Literature in a Global Perspective (26/27),https://csucareers.calstate.edu/en-us/job/553107/assistant-professor-of-english-20th21st-century-american-literature-in-a-global-perspective-2627,CSU,Instructional Faculty – Tenured/Tenure-Track,,"Campus, CA",,English - 20th-21st Century American Literature in a Global Perspective (26/27),English - 20th-21st Century American Literature in a Global Perspective (26/27),California Public
Assistant Professor of English - Creative Writing and Latinx/e Literature (26/27),https://csucareers.calstate.edu/en-us/job/552462/assistant-professor-of-english-creative-writing-and-latinxe-literature-2627,CSU,Instructional Faculty – Tenured/Tenure-Track,"California Polytechnic State University, San Luis Obispo","Cal Poly - San Luis Obispo Campus, CA",,English - Creative Writing and Latinx/e Literature (26/27),English - Creative Writing and Latinx/e Literature (26/27),California Public
Assistant Professor of English - Writing Center Director,https://cuny.jobs/queens-ny/assistant-professor-of-english-writing-center-director/0839B9144BFD4723ADD1B867AF59BD14/job/,NY,Faculty,Queens College,"Queens College, NY","Assistant Professor of English - Writing Center Director FACULTY VACANCY ANNOUNCEMENT Performs teaching, research and guidance duties in area(s) of expertise. Shares responsibility for committee and department assignments including administrative, supervisory, and other functions. Founded in 1971 in Long Island City, Queens, LaGuardia Community College is one of seven community colleges of the City University of New York (CUNY). LaGuardia offers more than sixty associate degree programs and more than fifty workforce training, ESOL, GED, and pre-college programs. In 2023, LaGuardia served approximately 24,000 students. More than one-third of LaGuardia’s degree-seeking students are born outside the United States; they come from 136 countries and speak 43 heritage languages. Sixty percent are first-generation college students. Virtually all LaGuardia students are ethnic minorities (89 percent), 58 percent are women, 27 percent are over the age of 25. Forty-six percent of associate degree students are Hispanic. Upon graduation most students transfer to four-year colleges, typically in CUNY, to complete their baccalaureate degrees. Graduates of career programs such as Nursing, Computer Technology, and Veterinary Technology enter the workforce. LaGuardia ranked fifth among U.S. community colleges in economic mobility – moving low-income students into the middle class and beyond – in studies by Stanford University (2017) and the Brookings Institution (2020). Please visit www.laguardia.edu to learn more. The English Department at LaGuardia Community College is seeking a dynamic, highly motivated, and innovative scholar to serve as Director of the Writing Center on a tenure-track Assistant Professor line. The successful candidate will develop, establish, and implement a strategic vision for LaGuardia’s Writing Center that aligns with college-wide priorities; develop and maintain writing support for students as well as pedagogical materials for faculty; prepare and implement the Writing Center budget; recruit and train tutors; conduct regular assessment; liaise with faculty, staff, and administration; build ties to writing centers at other CUNY institutions and beyond; and manage day-to-day operations of the Writing Center in collaboration with the Writing Center Manager. The successful candidate will receive substantial course release to enable them to fulfill these duties. In addition, the Writing Center Director will teach at least one composition course per semester; provide academic advisement for students; participate in departmental and college-wide initiatives, programs, and committee work; and be engaged in scholarly activities, including publications and conference participation. QUALIFICATIONS Ph.D. degree in area(s) of experience or equivalent. Also required are the ability to teach successfully, demonstrated scholarship or achievement, and ability to cooperate with others for the good of the institution. PREFERRED QUALIFICATIONS Demonstrated leadership or management experience overseeing the day-to-day operations of a writing center or similar program in support of students’ academic and professional writing goals Evidence of excellence in undergraduate writing instruction within a linguistically and culturally diverse student body, including an active, student-centered pedagogy, student mentoring experience, and excellent teaching and peer classroom evaluations A record or clear promise of publication, with a strong preference for those specializing in Writing Center studies, composition-rhetoric, literacy studies, multimodal composing, community writing, and/or public writing Evidence of developing and maintaining collaborative relationships across an institution, including promoting interdisciplinary initiatives such as Writing in the Disciplines and Writing Across the Curriculum Experience developing initiatives to support multilingual learners A commitment to engaged and equitable student learning as informed by current practice and scholarship such as antiracist pedagogy, translanguaging, and linguistic justice Experience with identifying and securing external funding sources around writing instruction COMPENSATION $57,252 - $90,838 CUNY offers faculty a competitive compensation and benefits package covering health insurance, pension and retirement benefits, paid parental leave, and savings programs. We also provide mentoring and support for research, scholarship, and publication as part of our commitment to ongoing faculty professional development. HOW TO APPLY Visit www.cuny.edu, access the employment page, log in or create a new user account, and search for this vacancy using the Job ID or Title. Select ""Apply Now"" and provide the requested information. Candidates should provide a CV/resume and statement of scholarly interests. CLOSING DATE March 6th, 2026 (Extended) JOB SEARCH CATEGORY CUNY Job Posting: Faculty EQUAL EMPLOYMENT OPPORTUNITY CUNY encourages people with disabilities, minorities, v",English - Writing Center Director,English - Writing Center Director,New York Public
Assistant Professor of English (Writing Studies),https://csucareers.calstate.edu/en-us/job/553855/assistant-professor-of-english-writing-studies,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Stanislaus invites applications for a tenure-track Assistant Professor specializing in Writing Studies. We seek a committed teacher-scholar who is excited to contribute to a department that values innovation","Stanislaus - Turlock, CA",,English (Writing Studies),English (Writing Studies),California Public
Assistant Professor of English and Creative Writing,https://chicagostate.peopleadmin.com/postings/16520,IL,Faculty,Chicago State University,"Chicago, IL",,English and Creative Writing,English and Creative Writing,
Assistant Professor of English in Creative Writing - Nonfiction,https://jobs.montana.edu/postings/49394,MT,Faculty,Montana State University,"Bozeman, MT",,English in Creative Writing - Nonfiction,English in Creative Writing - Nonfiction,
Assistant Professor of Entrepreneurship,https://csucareers.calstate.edu/en-us/job/552928/assistant-professor-of-entrepreneurship,CSU,Instructional Faculty – Tenured/Tenure-Track,"California Polytechnic State University, San Luis Obispo","Cal Poly - San Luis Obispo Campus, CA",,Entrepreneurship,Entrepreneurship,California Public
Assistant Professor of Entrepreneurship,https://www.sujobopps.com/postings/110217,NY,Faculty,Syracuse University,"Syracuse University, NY",,Entrepreneurship,Entrepreneurship,New York Public
Assistant Professor of Environmental Earth Science - Department of Geological Science #26-13,https://csucareers.calstate.edu/en-us/job/553130/assistant-professor-of-environmental-earth-science-department-of-geological-science-2613,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Northridge","Northridge, CA",,Environmental Earth Science - Department of Geological Science,Environmental Earth Science - Department of Geological Science,California Public
Assistant Professor of Environmental Science,https://jobs.unca.edu/postings/8781,NC,Faculty,UNC Asheville,"Asheville, NC",,Environmental Science,Environmental Science,
Assistant Professor of ESOL (Program Coordinator of ESOL & Foreign Languages),https://ctstatecommunitycollege.applytojob.com/apply/c3kd1hhidW,CT State,Faculty/Teaching,CT State Capital,,,ESOL (Program Coordinator of ESOL & Foreign Languages),ESOL (Program Coordinator of ESOL & Foreign Languages),Connecticut
Assistant Professor of Ethnic Studies - African American/Black Studies (26/27),https://csucareers.calstate.edu/en-us/job/553109/assistant-professor-of-ethnic-studies-african-americanblack-studies-2627,CSU,Instructional Faculty – Tenured/Tenure-Track,"California Polytechnic State University, San Luis Obispo","Cal Poly - San Luis Obispo Campus, CA",,Ethnic Studies - African American/Black Studies (26/27),Ethnic Studies - African American/Black Studies (26/27),California Public
Assistant Professor of Ethnic Studies (Black Studies),https://hr.wwu.edu/careers-faculty?job=502737,WA,Faculty,Western Washington University,"Bellingham, WA",,Ethnic Studies (Black Studies),Ethnic Studies (Black Studies),Washington
Assistant Professor of Ethnomusicology,https://unm.csod.com/ux/ats/careersite/18/home/requisition/34657?c=unm,NM,Faculty,University of New Mexico,"Albuquerque, NM",,Ethnomusicology,Ethnomusicology,
Assistant Professor of Exercise Physiology,https://csucareers.calstate.edu/en-us/job/551906/assistant-professor-of-exercise-physiology,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Chico","Chico, CA",,Exercise Physiology,Exercise Physiology,California Public
"Assistant Professor of Exercise Science, Tenure Track, Starting September 1, 2026",https://employment.stockton.edu/jobs/assistant-professor-of-exercise-science-tenure-track-starting-september-1-2026-galloway-new-jersey-united-states,NJ,Faculty,Stockton University,"Galloway, NJ",,"Exercise Science, Tenure Track, Starting September 1, 2026","Exercise Science, Tenure Track, Starting September 1, 2026",
Assistant Professor of Family Law — SOG Sch of Government - 375100,https://unc.peopleadmin.com/postings/310884,NC,Faculty,UNC-Chapel Hill,"Chapel Hill, NC",,SOG Sch of Government,SOG Sch of Government,
Assistant Professor of Film and Digital Arts,https://unm.csod.com/ux/ats/careersite/18/home/requisition/34866?c=unm,NM,Faculty,University of New Mexico,"Albuquerque, NM",,Film and Digital Arts,Film and Digital Arts,
Assistant Professor of Film and/or Television Production - Department of Cinema and Television Arts #26-17,https://csucareers.calstate.edu/en-us/job/553396/assistant-professor-of-film-andor-television-production-department-of-cinema-and-television-arts-2617,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Northridge","Northridge, CA",,Film and/or Television Production - Department of Cinema and Television Arts,Film and/or Television Production - Department of Cinema and Television Arts,California Public
"Assistant Professor of Film, TV Editing & Post-Production in TFDP",https://aprecruit.ucr.edu/JPF02203,UC,Faculty,UC Riverside,"Riverside, CA",,"Film, TV Editing & Post-Production in TFDP","Film, TV Editing & Post-Production in TFDP",California Public
Assistant Professor of Finance,https://csucareers.calstate.edu/en-us/job/554081/assistant-professor-of-finance,CSU,Instructional Faculty – Tenured/Tenure-Track,California State University San Marcos,"San Marcos, CA",,Finance,Finance,California Public
Assistant Professor of Finance,https://csucareers.calstate.edu/en-us/job/551326/assistant-professor-of-finance,CSU,Instructional Faculty – Tenured/Tenure-Track,San Diego State University,"San Diego, CA",,Finance,Finance,California Public
Assistant Professor of Finance,https://apol-recruit.ucsd.edu/JPF04391,UC,Faculty,UC San Diego,"San Diego, CA",,Finance,Finance,California Public
Assistant Professor of Finance,https://jobs.shu.edu/cw/en-us/job/497082/assistant-professor-of-finance,NJ,Faculty,Seton Hall University,"Seton Hall University, NJ",,Finance,Finance,
Assistant Professor of Finance,https://jobs.oakland.edu/postings/35170,MI,Faculty,Oakland University,"Rochester, MI",,Finance,Finance,
Assistant Professor of Finance,https://ulsltu.wd503.myworkdayjobs.com/en-US/LATECHCareers/details/Assistant-Professor-of-Finance_R-1720,LA,Faculty,Louisiana Tech University,"Ruston, LA",,Finance,Finance,Louisiana
Assistant Professor of Finance,https://ulsltu.wd503.myworkdayjobs.com/en-US/LATECHCareers/details/Assistant-Professor-of-Finance_R-1719,LA,Faculty,Louisiana Tech University,"Ruston, LA",,Finance,Finance,Louisiana
"Assistant Professor of Finance/Financial Planning, Tenure Track, Starting September 1, 2026",https://employment.stockton.edu/jobs/assistant-professor-of-finance-financial-planning-tenure-track-starting-september-1-2026-galloway-new-jersey-united-states,NJ,Faculty,Stockton University,"Galloway, NJ",,"Finance/Financial Planning, Tenure Track, Starting September 1, 2026","Finance/Financial Planning, Tenure Track, Starting September 1, 2026",
Assistant Professor of Fish Ecology,https://recruit.ucdavis.edu/JPF07351,UC,Faculty,UC Davis,"Davis, CA",,Fish Ecology,Fish Ecology,California Public
Assistant Professor of Forage Agronomy,https://jobs.apply.vt.edu/jobs/assistant-professor-of-forage-agronomy-blackstone-virginia-virginia-united-states,VA,Faculty,Virginia Tech,"Blacksburg, VA",,Forage Agronomy,Forage Agronomy,
Assistant Professor of Forage Agronomy and State Forage Extension Specialist,https://www.ugajobsearch.com/postings/451059,GA,Faculty,University of Georgia,"Athens, GA",,Forage Agronomy and State Forage Extension Specialist,Forage Agronomy and State Forage Extension Specialist,Georgia
Assistant Professor of Games and Emerging Media,https://careers.marist.edu/cw/en-us/job/493966/assistant-professor-of-games-and-emerging-media,NY,Faculty,Marist College,"Marist College, NY",,Games and Emerging Media,Games and Emerging Media,New York Public
Assistant Professor of Genetics,https://www.ugajobsearch.com/postings/457473,GA,Faculty,University of Georgia,"Athens, GA",,Genetics,Genetics,Georgia
Assistant Professor of Geophysics (Tenure-Track) - Earth and Atmospheric Sciences,https://cuny.jobs/new-york-ny/assistant-professor-of-geophysics-tenure-track-earth-and-atmospheric-sciences/960377FEB9724DE483CE860FA42B7188/job/,NY,Faculty,City College,"City College, NY","Assistant Professor of Geophysics (Tenure-Track) - Earth and Atmospheric Sciences FACULTY VACANCY ANNOUNCEMENT The Department of Earth and Atmospheric Sciences (EAS) at The City College of New York (CCNY) invites applications for a full-time, tenure-track Assistant Professor in Geophysics. We welcome applicants whose research spans a broad range of geophysics, including but not limited to environmental geophysics, seismology, geodesy, geodynamics, near-surface geophysics, and geomagnetism. Preference will be given to candidates with demonstrated experience applying field, observational, and/or computational methods to environmental problems - skills that many of our students find instrumental in securing employment. The successful candidate is expected to establish a vigorous, externally funded research program that broadens the scope of our departmental expertise while complementing and integrating with existing strengths. The candidate should also be prepared to develop new courses and teach existing ones in geophysics. CCNY is the flagship campus of the City University of New York (CUNY), the nation’s largest urban public university system. EAS offers B.S. and M.S. degrees and co-grants Ph.D. programs along with the CUNY Graduate Center. CCNY serves a broad range of students and has an exemplary record as an engine of social and economic mobility. The EAS Department seeks candidates who appreciate and support the College’s mission in this regard. Candidate must be legally authorized to work Full-time in the United States. QUALIFICATIONS Ph.D. in Geophysics or a closely related field is required. Preferred Qualifications: Ability to teach effectively across a wide range of learning styles and levels, from undergraduates to doctoral students. Evidence of scholarly achievement and the ability to work collaboratively for the good of the institution. Demonstrate the potential to maintain an extramurally funded research program. COMPENSATION Salary Range: $90,838 - $102,017 CUNY offers faculty a competitive compensation and benefits package covering health insurance, pension and retirement benefits, paid parental leave, and savings programs. We also provide mentoring and support for research, scholarship, and publication as part of our commitment to ongoing faculty professional development. HOW TO APPLY *Only applications submitted through CUNYfirst will be considered for this position.* If you are viewing this job posting in CUNYfirst, please click on ""Apply Now"" on the bottom of this page and follow the instructions. If you are viewing this job posting externally, please apply as follows: Go to https://cuny.jobs/ Search for Job Opening ID number: 31166 Click on the ""Apply Now"" button and follow the instructions. Applications, including the following must be uploaded to the CUNYfirst job application website as a single PDF document: Cover Letter Curriculum Vitae including Publication List Research Statement (maximum 2 pages) Teaching Statement (maximum 2 pages) Names and contact information for three professional references who could provide Letters of Reference CLOSING DATE Open until filled, with review to begin on December 11, 2025 JOB SEARCH CATEGORY CUNY Job Posting: Faculty EQUAL EMPLOYMENT OPPORTUNITY CUNY encourages people with disabilities, minorities, veterans and women to apply. At CUNY, Italian Americans are also included among our protected groups. Applicants and employees will not be discriminated against on the basis of any legally protected category, including sexual orientation or gender identity. EEO/AA/Vet/Disability Employer. Job ID: 31166 Location: City College of New York Job Type: Full-Time",Geophysics (Tenure-Track) - Earth and Atmospheric Sciences,Geophysics (Tenure-Track) - Earth and Atmospheric Sciences,New York Public
Assistant Professor of Geospatial Engineering (AY 26/27),https://csucareers.calstate.edu/en-us/job/552331/assistant-professor-of-geospatial-engineering-ay-2627,CSU,Instructional Faculty – Tenured/Tenure-Track,,"Cal Poly - San Luis Obispo Campus, CA",,Geospatial Engineering (AY 26/27),Geospatial Engineering (AY 26/27),California Public
Assistant Professor of Geotechnical Engineering (AY 26/27),https://csucareers.calstate.edu/en-us/job/550935/assistant-professor-of-geotechnical-engineering-ay-2627,CSU,Instructional Faculty – Tenured/Tenure-Track,,"Cal Poly - San Luis Obispo Campus, CA",,Geotechnical Engineering (AY 26/27),Geotechnical Engineering (AY 26/27),California Public
Assistant Professor of German Studies,https://jobs.cofc.edu/postings/17597,SC,Faculty,College of Charleston,"Charleston, SC",,German Studies,German Studies,
Assistant Professor of German Studies One-Year Term (Start Fall 2026),https://apply.interfolio.com/175139,IA,Faculty,Grinnell College,"Grinnell, IA","The Department of German Studies invites applications for a 1-year term appointment with the possibility of renewal in any area of German Studies, beginning Fall 2026. Near-native fluency in German is required. Assistant Professor (Ph.D.) preferred; Instructor (ABD) or Associate Professor possible. Research and teaching interests might include but are not limited to: 20 th -21 st century German-language literature, film, visual culture, theater, or other media; interdisciplinary connections to African Diaspora Studies, Jewish Studies, Gender and Women’s studies, LGBTQ+ studies, (post)colonial studies, or a focus on other minoritized communities in the German-speaking world. The teaching load is five courses over two semesters. &nbsp;Additional information about our curriculum and faculty can be found at HTTPS://WWW.GRINNELL.EDU/ACADEMICS/MAJORS-CONCENTRATIONS/GERMAN. &nbsp;",German Studies One-Year Term (Start Fall 2026),German Studies One-Year Term (Start Fall 2026),Iowa
Assistant Professor of Graphic Design,https://jobs.uca.edu/postings/18307,AR,Faculty,University of Central Arkansas,"Conway, AR",,Graphic Design,Graphic Design,Arkansas
Assistant Professor of Graphic Design — Art & Art History,https://jobs.charlotte.edu/postings/66197,NC,Faculty,UNC Charlotte,"Charlotte, NC",,Art & Art History,Art & Art History,
Assistant Professor of Guitar,https://unm.csod.com/ux/ats/careersite/18/home/requisition/34764?c=unm,NM,Faculty,University of New Mexico,"Albuquerque, NM",,Guitar,Guitar,
Assistant Professor of Health Care Management,https://csucareers.calstate.edu/en-us/job/550402/assistant-professor-of-health-care-management,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Long Beach","Long Beach, CA",,Health Care Management,Health Care Management,California Public
"Assistant Professor of Health Physics, College of Science & Engineering",https://isu.csod.com/ux/ats/careersite/5/home/requisition/2299?c=isu,ID,Faculty,Idaho State University,"Pocatello, ID",,"Health Physics, College of Science & Engineering","Health Physics, College of Science & Engineering",
Assistant Professor of Health Science (Applied Artificial Intelligence in Health),https://csucareers.calstate.edu/en-us/job/551409/assistant-professor-of-health-science-applied-artificial-intelligence-in-health,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Long Beach","Long Beach, CA",,Health Science (Applied Artificial Intelligence in Health),Health Science (Applied Artificial Intelligence in Health),California Public
Assistant Professor of Higher Education (Tenure-Track),https://jobs.shu.edu/cw/en-us/job/497062/assistant-professor-of-higher-education-tenuretrack,NJ,Faculty,Seton Hall University,"Seton Hall University, NJ",,Higher Education (Tenure-Track),Higher Education (Tenure-Track),
Assistant Professor of History of Brazil,https://csucareers.calstate.edu/en-us/job/553905/assistant-professor-of-history-of-brazil,CSU,Instructional Faculty – Tenured/Tenure-Track,San Diego State University,"San Diego, CA",,History of Brazil,History of Brazil,California Public
ASSISTANT PROFESSOR OF HORN,https://jobs.uiowa.edu/faculty/view/75853,IA,Faculty,University of Iowa,"Iowa City, IA",,HORN,HORN,Iowa
Assistant Professor of Human Development (Environmental Justice),https://csucareers.calstate.edu/en-us/job/551854/assistant-professor-of-human-development-environmental-justice,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Long Beach","Long Beach, CA",,Human Development (Environmental Justice),Human Development (Environmental Justice),California Public
Assistant Professor of Human Development and Family Studies,https://recruit.ucdavis.edu/JPF07335,UC,Faculty,UC Davis,"Davis, CA",,Human Development and Family Studies,Human Development and Family Studies,California Public
Assistant Professor of Human Genetics,https://www.ugajobsearch.com/postings/457472,GA,Faculty,University of Georgia,"Athens, GA",,Human Genetics,Human Genetics,Georgia
Assistant Professor of Human Performance,https://yourfuture.sdbor.edu/postings/46757,SD,Faculty,Northern State University,"Aberdeen, SD",,Human Performance,Human Performance,South Dakota
Assistant Professor of Immunology,https://appstate.peopleadmin.com/postings/52290,NC,Faculty,Appalachian State University,"Boone, NC",,Immunology,Immunology,
