title,url,source,category,college,location,description,department,specialization,systemGroup
"Associate Professor or Professor, Director, Division of Nephrology",https://jobs.rutgers.edu/postings/266073,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,,,
"Associate Professor or Professor, Tenured, Power/Energy Systems",https://apply.interfolio.com/164040,TX,Faculty,Baylor University,"Waco, TX","The Department of Electrical and Computer Engineering (ECE) at Baylor University seeks qualified candidates for a tenured position with the rank of Associate Professor or Professor beginning August 2026. Review of applicants will begin on December 1, 2025 and continue until the position is filled.&nbsp;&nbsp; Successful candidates must have a Ph.D. in ECE, Electrical Engineering, or a closely related field. They will also have a commitment to excellence in teaching, have a proven track record of supporting a strong, independent research program, and have effective communication and organization skills. Selected candidates will be expected to initiate and carry out research and perform academic duties associated with our undergraduate and graduate programs. The primary responsibilities are teaching courses, developing a strong externally funded research program, and leading graduate and undergraduate students in research. Baylor’s ABET-accredited ECE department currently has 18 tenured/tenure-track faculty including the Mearse Chair in Biological and Biomedical Engineering, and 3 non-tenure-track faculty members. The faculty are internationally recognized in research areas including power and energy systems; wireless and photonics systems, semiconductors, RF, and devices; AI and machine learning; advanced computing, cyber-physical systems and bioengineering. The department is housed within the Rogers Engineering Building and the Baylor Research and Innovation Collaborative (BRIC; see https://bric.research.baylor.edu/). The department offers BS (including degrees in ECE and Computer Engineering as well as a Biomedical Engineering concentration), MS, and PhD degrees in Electrical and Computer Engineering. Additional information regarding the department, including its mission, is available at https://www.ecs.baylor.edu/ece. Located in Waco, Texas, Baylor University is the oldest college in Texas. With a population of around 21,000 students, Baylor is one of the top univ",,,Texas
Associate Professor or Professor/Chair - Mathematics and Statistics,https://jobs.ncat.edu/postings/39090,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,Mathematics and Statistics,Mathematics and Statistics,
Associate Professor WOT or Professor WOT (Chief of CT Anesthesia) - Anesthesiology & Pain Medicine Anesthesiology and Pain Medicine,https://ap.washington.edu/ahr/position-details/?job_id=166344,WA,Faculty,University of Washington,"Seattle, WA",,Anesthesiology & Pain Medicine Anesthesiology and Pain Medicine,Anesthesiology & Pain Medicine Anesthesiology and Pain Medicine,Washington
Associate Professor WOT or Professor WOT (Chief of Neuroanesthesia) - Anesthesiology & Pain Medicine Anesthesiology and Pain Medicine,https://ap.washington.edu/ahr/position-details/?job_id=166489,WA,Faculty,University of Washington,"Seattle, WA",,Anesthesiology & Pain Medicine Anesthesiology and Pain Medicine,Anesthesiology & Pain Medicine Anesthesiology and Pain Medicine,Washington
Associate Professor-Nursing (Tenured/Tenure-Track),https://jobs.rutgers.edu/postings/266430,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,,,
Associate Professor-Tenure System - Of Communication Arts Sciences,https://careers.msu.edu/jobs/associate-professor-tenure-system-east-lansing-michigan-united-states-5cb12a33-6010-4412-afcc-46d42b1b85b2,MI,Faculty,Michigan State University,"East Lansing, MI",,Of Communication Arts Sciences,Of Communication Arts Sciences 1056501 The Department of Advertising and Public Relations,
"Associate Professor, Nursing — Dean Nursing",https://jobs.uri.edu/postings/15886,RI,Faculty,University of Rhode Island,"Kingston, RI",,Dean Nursing,Dean Nursing,
"Associate Professor, School of Law",https://jobs.shu.edu/cw/en-us/job/496982/associate-professor-school-of-law,NJ,Faculty,Seton Hall University,"Seton Hall University, NJ",,School of Law,School of Law,
"Associate Professor, School of Law",https://jobs.shu.edu/cw/en-us/job/496997/associate-professor-school-of-law,NJ,Faculty,Seton Hall University,"Seton Hall University, NJ",,School of Law,School of Law,
Associate Professor/ Director- Doctor of Nursing Practice,https://jobs.ncat.edu/postings/39576,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,,,
"Associate Professor/ Professor and Department Chair, Communication Sciences and Disorders",https://jobs.ncat.edu/postings/38499,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,Communication Sciences and Disorders,Communication Sciences and Disorders,
"Associate Professor/ Professor Department Chair, Population Health Management & Policy",https://jobs.ncat.edu/postings/38500,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,Population Health Management & Policy,Population Health Management & Policy,
Associate Professor/Chair - Applied Engineering Technology,https://jobs.ncat.edu/postings/39098,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,Applied Engineering Technology,Applied Engineering Technology,
Associate Professor/Chair - Psychology,https://jobs.ncat.edu/postings/39590,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,Psychology,Psychology,
Associate Professor/Professor - Constitutional Law,https://employment.ku.edu/jobs/faculty/associate-professor-professor-constitutional-law/32089br,KS,Faculty,University of Kansas,"Lawrence, KS",,Constitutional Law,Constitutional Law,Kansas
Associate Professor/Professor - Criminal Justice,https://jobs.ncat.edu/postings/39579,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,Criminal Justice,Criminal Justice,
"Associate Professor/Professor - Department of Neurology — of Neurology Detroit, MI,",https://waynetalent.csod.com/ux/ats/careersite/2/home/requisition/3029?c=waynetalent,MI,Faculty,Wayne State University,"Detroit, MI",,"Department of Neurology — of Neurology Detroit, MI","Department of Neurology — of Neurology Detroit, MI",
Associate Professor/Professor and Chair of Management,https://jobs.ncat.edu/postings/38888,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,Management,Management,
Associate Professor/Professor and Graduate Program Director,https://jobs.ncat.edu/postings/39584,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,,,
"Associate Professor/Professor at CUMC, Director, Center for Family and Community Medicine",https://apply.interfolio.com/176617,NY,Faculty,Columbia University,"Columbia University, NY","Columbia University Vagelos College of Physicians and Surgeons (VP&amp;S) and its hospital partner NewYork-Presbyterian (NYP) seek a visionary and dynamic physician leader to serve as Director of the Center for Family and Community Medicine (CFCM). This is an opportunity to lead a mission-driven, academic, and clinical center with a rich history and significant current impact that is also poised for innovation. The Director will shape the future of Family Medicine at Columbia University and NYP by advancing new approaches to urban family medicine while also continuing to build its strong foundations in clinical and educational excellence, community relationships, faculty development, and scholarship. The Director will lead efforts to reinforce long-standing, trust-based relationships with families across generations, championing a holistic, team-based approach that integrates physical, behavioral, and social care. The CFCM is an entity of Columbia University VP&amp;S and NYPH that operates through the Allen Hospital and a stand-alone community family medicine practice at the Herman “Denny” Farrell, Jr. Community Health Center, to serve northern Manhattan communities including Inwood and Washington Heights. Located in some of New York City’s most vibrant and culturally rich neighborhoods, CFCM is uniquely positioned to serve a diverse, multilingual population with complex health and social needs. CFCM’s work is deeply rooted in advocacy, health equity, and the belief that a bio-psychosocial approach to families and communities is foundational to health promotion and disease prevention. The CFCM supports an ACGME-accredited 18-resident Family Medicine Residency Program, offering robust inpatient and outpatient services and a nationally recognized model of integrated, community-responsive care. Family Medicine faculty also lead and teach in the VP&amp;S Primary Care Clerkship and offer medical student electives. The Director of the Center holds a faculty appointment wi",,,New York Public
Associate Professor/Professor Chief of Surgical Oncology,https://www.uvmjobs.com/postings/85352,VT,Faculty,University of Vermont,"Burlington, VT",,,,Vermont
Associate Professor/Professor of Law,https://careers.pageuppeople.com/967/cw/en-us/job/499222/associate-professorprofessor-of-law,CT,Faculty,University of Connecticut,"University of Connecticut, CT",,Law,Law,Connecticut
Associate Professor/Professor of Medicine (Tenure Track) - Endocrinology - Division Chief,https://apply.interfolio.com/176939,NY,Faculty,Columbia University,"Columbia University, NY","Associate Professor/Professor of Medicine – Endocrinology – Division Chief Columbia University Irving Medical Center and NewYork-Presbyterian are conducting a search to appoint the next Chief of the Division of Endocrinology. This appointment will hold the faculty position of &nbsp; Associate Professor or Professor of Medicine based on teaching, academic medicine, and scholarship experience. With overall responsibility for operations, finances, and strategy, the Chief will lead and grow the excellent clinical, research, and educational programs across the Medical Center and the College. The Chief will also oversee the continued development of centers of excellence and outstanding clinical programs and will support transformative research.&nbsp; This position requires a dynamic, passionate, and capable physician leader with a record of success spanning collaborative clinical leadership, administrative management, program development, individual scholarship, educational excellence, successful faculty recruitment, and community engagement. The ideal candidates should possess successful administrative experience as a leader at an academic institution; national reputation for personal academic accomplishments; experience with recruitment, development of physicians and a reputation for mentorship, and demonstrated financial and business acumen. The Chief will have overarching responsibility for the Division’s operations, finances, and strategic direction, leading and expanding its top-ranked clinical, research, and educational programs across the Medical Center and the College of Physicians and Surgeons. The successful candidate will also guide the continued development of centers of excellence and innovative clinical programs, while collaboratively fostering transformative research initiatives. This position requires a dynamic, visionary, and accomplished physician-leader with a strong record of research excellence and academic leadership. The Division of Endocrinology h",Medicine (Tenure Track) - Endocrinology - Division Chief,Medicine (Tenure Track) - Endocrinology - Division Chief,New York Public
